"Statistic","Year","Fuel Type","UNIT","VALUE"
"Fuels Used in Electricity Production","1990","Sum of all fuel products","ktoe","3094"
"Fuels Used in Electricity Production","1990","Sum of all coal products","ktoe","1245"
"Fuels Used in Electricity Production","1990","Bituminous coal","ktoe","1245"
"Fuels Used in Electricity Production","1990","Sum of all peat products","ktoe","604"
"Fuels Used in Electricity Production","1990","Milled peat","ktoe","572"
"Fuels Used in Electricity Production","1990","Sod peat","ktoe","32"
"Fuels Used in Electricity Production","1990","Sum of all petroleum products","ktoe","343"
"Fuels Used in Electricity Production","1990","Refinery gas","ktoe","1"
"Fuels Used in Electricity Production","1990","Fuel Oil","ktoe","334"
"Fuels Used in Electricity Production","1990","LPG","ktoe","0"
"Fuels Used in Electricity Production","1990","Gasoil/diesel/DERV","ktoe","7"
"Fuels Used in Electricity Production","1990","Natural gas","ktoe","843"
"Fuels Used in Electricity Production","1990","Sum of all renewable energies","ktoe","60"
"Fuels Used in Electricity Production","1990","Hydro","ktoe","60"
"Fuels Used in Electricity Production","1990","Wind","ktoe","0"
"Fuels Used in Electricity Production","1990","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1990","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1990","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1990","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1990","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1990","Electricity net Imports","ktoe","0"
"Fuels Used in Electricity Production","1991","Sum of all fuel products","ktoe","3265"
"Fuels Used in Electricity Production","1991","Sum of all coal products","ktoe","1225"
"Fuels Used in Electricity Production","1991","Bituminous coal","ktoe","1225"
"Fuels Used in Electricity Production","1991","Sum of all peat products","ktoe","621"
"Fuels Used in Electricity Production","1991","Milled peat","ktoe","591"
"Fuels Used in Electricity Production","1991","Sod peat","ktoe","29"
"Fuels Used in Electricity Production","1991","Sum of all petroleum products","ktoe","564"
"Fuels Used in Electricity Production","1991","Refinery gas","ktoe","2"
"Fuels Used in Electricity Production","1991","Fuel Oil","ktoe","556"
"Fuels Used in Electricity Production","1991","LPG","ktoe","0"
"Fuels Used in Electricity Production","1991","Gasoil/diesel/DERV","ktoe","6"
"Fuels Used in Electricity Production","1991","Natural gas","ktoe","790"
"Fuels Used in Electricity Production","1991","Sum of all renewable energies","ktoe","64"
"Fuels Used in Electricity Production","1991","Hydro","ktoe","64"
"Fuels Used in Electricity Production","1991","Wind","ktoe","0"
"Fuels Used in Electricity Production","1991","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1991","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1991","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1991","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1991","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1991","Electricity net Imports","ktoe","0"
"Fuels Used in Electricity Production","1992","Sum of all fuel products","ktoe","3447"
"Fuels Used in Electricity Production","1992","Sum of all coal products","ktoe","1396"
"Fuels Used in Electricity Production","1992","Bituminous coal","ktoe","1396"
"Fuels Used in Electricity Production","1992","Sum of all peat products","ktoe","635"
"Fuels Used in Electricity Production","1992","Milled peat","ktoe","614"
"Fuels Used in Electricity Production","1992","Sod peat","ktoe","22"
"Fuels Used in Electricity Production","1992","Sum of all petroleum products","ktoe","580"
"Fuels Used in Electricity Production","1992","Refinery gas","ktoe","3"
"Fuels Used in Electricity Production","1992","Fuel Oil","ktoe","568"
"Fuels Used in Electricity Production","1992","LPG","ktoe","0"
"Fuels Used in Electricity Production","1992","Gasoil/diesel/DERV","ktoe","8"
"Fuels Used in Electricity Production","1992","Natural gas","ktoe","765"
"Fuels Used in Electricity Production","1992","Sum of all renewable energies","ktoe","71"
"Fuels Used in Electricity Production","1992","Hydro","ktoe","70"
"Fuels Used in Electricity Production","1992","Wind","ktoe","0"
"Fuels Used in Electricity Production","1992","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1992","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1992","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1992","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1992","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1992","Electricity net Imports","ktoe","0"
"Fuels Used in Electricity Production","1993","Sum of all fuel products","ktoe","3533"
"Fuels Used in Electricity Production","1993","Sum of all coal products","ktoe","1361"
"Fuels Used in Electricity Production","1993","Bituminous coal","ktoe","1361"
"Fuels Used in Electricity Production","1993","Sum of all peat products","ktoe","573"
"Fuels Used in Electricity Production","1993","Milled peat","ktoe","563"
"Fuels Used in Electricity Production","1993","Sod peat","ktoe","11"
"Fuels Used in Electricity Production","1993","Sum of all petroleum products","ktoe","570"
"Fuels Used in Electricity Production","1993","Refinery gas","ktoe","4"
"Fuels Used in Electricity Production","1993","Fuel Oil","ktoe","561"
"Fuels Used in Electricity Production","1993","LPG","ktoe","0"
"Fuels Used in Electricity Production","1993","Gasoil/diesel/DERV","ktoe","5"
"Fuels Used in Electricity Production","1993","Natural gas","ktoe","962"
"Fuels Used in Electricity Production","1993","Sum of all renewable energies","ktoe","67"
"Fuels Used in Electricity Production","1993","Hydro","ktoe","66"
"Fuels Used in Electricity Production","1993","Wind","ktoe","1"
"Fuels Used in Electricity Production","1993","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1993","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1993","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1993","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1993","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1993","Electricity net Imports","ktoe","0"
"Fuels Used in Electricity Production","1994","Sum of all fuel products","ktoe","3669"
"Fuels Used in Electricity Production","1994","Sum of all coal products","ktoe","1402"
"Fuels Used in Electricity Production","1994","Bituminous coal","ktoe","1402"
"Fuels Used in Electricity Production","1994","Sum of all peat products","ktoe","586"
"Fuels Used in Electricity Production","1994","Milled peat","ktoe","578"
"Fuels Used in Electricity Production","1994","Sod peat","ktoe","8"
"Fuels Used in Electricity Production","1994","Sum of all petroleum products","ktoe","655"
"Fuels Used in Electricity Production","1994","Refinery gas","ktoe","4"
"Fuels Used in Electricity Production","1994","Fuel Oil","ktoe","632"
"Fuels Used in Electricity Production","1994","LPG","ktoe","0"
"Fuels Used in Electricity Production","1994","Gasoil/diesel/DERV","ktoe","19"
"Fuels Used in Electricity Production","1994","Natural gas","ktoe","945"
"Fuels Used in Electricity Production","1994","Sum of all renewable energies","ktoe","81"
"Fuels Used in Electricity Production","1994","Hydro","ktoe","79"
"Fuels Used in Electricity Production","1994","Wind","ktoe","2"
"Fuels Used in Electricity Production","1994","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1994","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1994","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1994","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1994","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1994","Electricity net Imports","ktoe","0"
"Fuels Used in Electricity Production","1995","Sum of all fuel products","ktoe","3822"
"Fuels Used in Electricity Production","1995","Sum of all coal products","ktoe","1499"
"Fuels Used in Electricity Production","1995","Bituminous coal","ktoe","1499"
"Fuels Used in Electricity Production","1995","Sum of all peat products","ktoe","574"
"Fuels Used in Electricity Production","1995","Milled peat","ktoe","567"
"Fuels Used in Electricity Production","1995","Sod peat","ktoe","8"
"Fuels Used in Electricity Production","1995","Sum of all petroleum products","ktoe","625"
"Fuels Used in Electricity Production","1995","Refinery gas","ktoe","5"
